ip,timestamp,method,uri,status_code,url_length,bytes,response_bytes,decoded_uri,is_suspicious_uri,is_4xx,is_5xx,bytes_normal,bytes_error,request_interval,method_GET,method_HEAD,method_OPTIONS,method_POST
40.77.167.129,1/22/2019 3:56,GET,/image/57710/productModel/100x100,200,33,1695,1695,/image/57710/productmodel/100x100,0,0,0,1695,#N/A,0,TRUE,FALSE,FALSE,FALSE
40.77.167.129,1/22/2019 3:56,GET,/image/578/article/100x100,200,26,9831,9831,/image/578/article/100x100,0,0,0,9831,#N/A,0,TRUE,FALSE,FALSE,FALSE
31.56.96.51,1/22/2019 3:56,GET,/image/60819/productModel/200x200,200,33,7171,7171,/image/60819/productmodel/200x200,0,0,0,7171,#N/A,0,TRUE,FALSE,FALSE,FALSE
31.56.96.51,1/22/2019 3:56,GET,/image/61474/productModel/200x200,200,33,5379,5379,/image/61474/productmodel/200x200,0,0,0,5379,#N/A,0,TRUE,FALSE,FALSE,FALSE
31.56.96.51,1/22/2019 3:56,GET,/image/60844/productModel/200x200,200,33,5667,5667,/image/60844/productmodel/200x200,0,0,0,5667,#N/A,0,TRUE,FALSE,FALSE,FALSE
31.56.96.51,1/22/2019 3:56,GET,/image/60835/productModel/200x200,200,33,8171,8171,/image/60835/productmodel/200x200,0,0,0,8171,#N/A,0,TRUE,FALSE,FALSE,FALSE
31.56.96.51,1/22/2019 3:56,GET,/image/62254/productModel/200x200,200,33,4198,4198,/image/62254/productmodel/200x200,0,0,0,4198,#N/A,0,TRUE,FALSE,FALSE,FALSE
31.56.96.51,1/22/2019 3:56,GET,/image/60862/productModel/200x200,200,33,4228,4228,/image/60862/productmodel/200x200,0,0,0,4228,#N/A,0,TRUE,FALSE,FALSE,FALSE
5.211.97.39,1/22/2019 3:56,HEAD,/amp_preconnect_polyfill_404_or_other_error_expected._Do_not_worry_about_it,404,75,0,0,/amp_preconnect_polyfill_404_or_other_error_expected._do_not_worry_about_it,0,1,0,#N/A,0,0,FALSE,TRUE,FALSE,FALSE
5.211.97.39,1/22/2019 3:56,GET,/image/890/mainSlideMobile,200,26,92209,92209,/image/890/mainslidemobile,0,0,0,92209,#N/A,0,TRUE,FALSE,FALSE,FALSE
5.211.97.39,1/22/2019 3:56,GET,/image/2145/productModel/200x200,200,32,6185,6185,/image/2145/productmodel/200x200,0,0,0,6185,#N/A,0,TRUE,FALSE,FALSE,FALSE
5.211.97.39,1/22/2019 3:56,GET,/image/11667/productModel/200x200,200,33,4124,4124,/image/11667/productmodel/200x200,0,0,0,4124,#N/A,0,TRUE,FALSE,FALSE,FALSE
